Loss,LMI_category,EventID,tc_id,Iteration,LFI_ms
1373137857,3,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-15-8,15. Aug,15,
0,3,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-15-9,15. Sep,15,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-15-10,15. Okt,15,
475059.5381,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-15-11,15. Nov,15,25.72324708
6963196.46,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-15-12,15. Dez,15,18.4
529181375.9,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-15-13,15-13,15,29.4
0,4,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-16-0,16-0,16,
97061759.18,5,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-16-1,16. Jan,16,18.1
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-16-2,16. Feb,16,
0,4,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-16-3,16. Mär,16,
3564407199,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-16-4,16. Apr,16,25.51774952
5574399128,4,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-16-5,16. Mai,16,44.81951615
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-16-6,16. Jun,16,
1969967.314,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-16-7,16. Jul,16,22.83523017
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-16-8,16. Aug,16,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-16-9,16. Sep,16,13.9
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-17-0,17-0,17,
0,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-17-1,17. Jan,17,
6192536.279,2,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-17-2,17. Feb,17,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-17-3,17. Mär,17,
0,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-17-4,17. Apr,17,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-17-5,17. Mai,17,
0,2,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-17-6,17. Jun,17,
82021892.01,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-17-7,17. Jul,17,23.50110459
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-17-8,17. Aug,17,
2.62964E+11,4,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-17-9,17. Sep,17,51
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-17-10,17. Okt,17,
0,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-17-11,17. Nov,17,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-17-12,17. Dez,17,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-18-0,18-0,18,
96428503.12,3,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-18-1,18. Jan,18,17.3
608344.8547,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-18-2,18. Feb,18,15.65883653
96705213.14,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-18-3,18. Mär,18,
102285117.5,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-18-4,18. Apr,18,23.70024822
1509561931,3,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-18-5,18. Mai,18,35.7
0,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-18-6,18. Jun,18,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-18-7,18. Jul,18,
96.17547375,2,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-18-8,18. Aug,18,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-18-9,18. Sep,18,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-18-10,18. Okt,18,
1.00856E+11,5,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-19-0,19-0,19,65.5256012
537384410.4,4,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-19-1,19. Jan,19,
4462810.865,5,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-19-2,19. Feb,19,23
340440391.7,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-19-3,19. Mär,19,18.6
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-19-4,19. Apr,19,
640139207,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-19-5,19. Mai,19,23.6
1582783148,5,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-19-6,19. Jun,19,50
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-19-7,19. Jul,19,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-19-8,19. Aug,19,
296023892.3,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-19-9,19. Sep,19,31.62569527
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-19-10,19. Okt,19,
112098274.6,4,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-20-0,20-0,20,22.3
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-20-1,20. Jan,20,
88004.73036,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-20-2,20. Feb,20,21.8
17953758856,4,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-20-3,20. Mär,20,52.5
0,4,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-20-4,20. Apr,20,
13037992.94,2,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-20-5,20. Mai,20,28.53600952
0,3,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-21-0,21-0,21,
415822066,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-21-1,21. Jan,21,16.7
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-21-2,21. Feb,21,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-21-3,21. Mär,21,
2122442.718,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-21-4,21. Apr,21,17.6
3292721542,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-22-0,22-0,22,32.6
0,5,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-22-1,22. Jan,22,
927080252.2,5,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-22-2,22. Feb,22,40.2
371501905.3,4,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-22-3,22. Mär,22,22.42582822
12676833389,5,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-22-4,22. Apr,22,54.4
27221370.38,2,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-22-5,22. Mai,22,22.2
20684939533,3,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-22-6,22. Jun,22,47.8
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-22-7,22. Jul,22,
6337673828,3,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-22-8,22. Aug,22,44.74405078
7860857211,5,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-22-9,22. Sep,22,33.3
1866751.481,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-23-0,23-0,23,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-23-1,23. Jan,23,
796.8431042,2,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-23-2,23. Feb,23,
0,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-23-3,23. Mär,23,
24117802.85,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-23-4,23. Apr,23,
770204.338,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-23-5,23. Mai,23,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-23-6,23. Jun,23,
6535382777,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-23-7,23. Jul,23,29.30567838
0,3,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-23-8,23. Aug,23,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-23-9,23. Sep,23,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-23-10,23. Okt,23,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-23-11,23. Nov,23,
1375503188,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-23-12,23. Dez,23,31.94838311
0,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-24-0,24-0,24,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-24-1,24. Jan,24,
0,2,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-24-2,24. Feb,24,
753084344.7,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-24-3,24. Mär,24,37.5
119437.3312,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-24-4,24. Apr,24,19.6
3057.844224,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-24-5,24. Mai,24,24.8
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-25-0,25-0,25,
83228024.45,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-25-1,25. Jan,25,28.14845776
136753.1345,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-25-2,25. Feb,25,
1051449648,3,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-25-3,25. Mär,25,35.6
4.945255338,5,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-25-4,25. Apr,25,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-25-5,25. Mai,25,
115180292.7,3,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-25-6,25. Jun,25,32.7
85415.2245,4,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-25-7,25. Jul,25,
13787462.07,5,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-25-8,25. Aug,25,36
0,2,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-25-9,25. Sep,25,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-25-10,25. Okt,25,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-25-11,25. Nov,25,
4076926008,3,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-25-12,25. Dez,25,25.3
1086145557,3,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-26-0,26-0,26,34.5
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-26-1,26. Jan,26,
0,5,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-26-2,26. Feb,26,
0,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-26-3,26. Mär,26,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-26-4,26. Apr,26,
